No.	Quantity	Comment	Value	Manufacturer Part	Designator
1	2	100uF	100uF	CL31A107MQHNNNE	C3,C8
2	4	10nF	10nF	CL21B103KBANNNC	C4,C5,C6,C7
3	5	100nF	100nF	CC0805KRX7R9BB104	C9,C12,C15,C16,C17
4	10	LED_0805-R			D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
5	1	DC-005-2.5-EP		DC-005-2.5-EP	J1
6	1	PJ-325C5-G		PJ-325C5-G	J2
7	1	DZ11AA1-H5A7-4F		DZ11AA1-H5A7-4F	J3
8	2	XDDB-1809-0816		XDDB-1809-0816	J4,J5
9	10	300Ω	300Ω	0805W8F3000T5E	R1,R27,R28,R29,R30,R41,R59,R60,R61,R62
10	4	560Ω	560Ω	0805W8F5600T5E	R2,R3,R5,R6
11	4	1kΩ	1kΩ	0805W8F1001T5E	R4,R42,R47,R52
12	3	2kΩ	2kΩ		R43,R48,R53
13	3	510Ω	510Ω		R44,R49,R54
14	3	3k9Ω	3k9Ω		R45,R50,R55
15	3	8k2Ω	8k2Ω		R46,R51,R56
16	2	100Ω	100Ω		R57,R58
17	4	Screw-Hole-M3			SCREW1,SCREW2,SCREW3,SCREW4
18	1	SK12D07VG4		SK12D07VG4	SW1
19	4	Key_TH_6x6x8.5			SW2,SW3,SW4,SW5
20	1	Micro SD Card Module			U1
21	2	DSN-MINI-360			U2,U4
22	2	CH376T		CH376T	U3,U8
23	1	MCP3208-CI/SL		MCP3208-CI/SL	U5
24	1	hw-728-CH340E			U6
25	1	QMTech 10CL025		QMTech 10CL025	U9
26	1	IS63LV1024L-10TLI		IS63LV1024L-10TLI	U10
27	1	902-131A1011D10100		902-131A1011D10100	USB1
